year,energy_type,power_consumption
1992,Gas,20067
1993,Wind,16
1993,Oil,38099
1993,Nuclear,6069
1993,Hydropower,6503
1993,Traditional bimass,11511
1993,Other renewables,376
1993,Biofuels,100
1993,Solar,2
1993,Coal,25675
1993,Gas,20269
1994,Wind,20
1994,Oil,38935
1994,Nuclear,6183
1994,Hydropower,6547
1994,Traditional bimass,11647
1994,Other renewables,390
1994,Biofuels,111
1994,Solar,2
1994,Coal,25774
1994,Gas,20394
1995,Wind,23
1995,Oil,39445
1995,Nuclear,6451
1995,Hydropower,6905
1995,Traditional bimass,11785
1995,Other renewables,407
1995,Biofuels,115
1995,Solar,2
1995,Coal,25954
1995,Gas,21108
1996,Wind,26
1996,Oil,40380
1996,Nuclear,6686
1996,Hydropower,7001
1996,Traditional bimass,11925
1996,Other renewables,418
1996,Biofuels,115
1996,Solar,2
1996,Coal,26572
1996,Gas,22164
1997,Wind,33
1997,Oil,41413
1997,Nuclear,6640
1997,Hydropower,7128
1997,Traditional bimass,12066
1997,Other renewables,448
1997,Biofuels,132
1997,Solar,2
1997,Coal,26527
1997,Gas,22033
1998,Wind,44
1998,Oil,41624
1998,Nuclear,6754
1998,Hydropower,7186
1998,Traditional bimass,12209
1998,Other renewables,469
1998,Biofuels,126
1998,Solar,2
1998,Coal,26360
1998,Gas,22439
1999,Wind,59
1999,Oil,42371
1999,Nuclear,7012
1999,Hydropower,7238
1999,Traditional bimass,12414
1999,Other renewables,493
1999,Biofuels,122
1999,Solar,3
1999,Coal,26522
1999,Gas,23075
2000,Wind,87
2000,Oil,42897
2000,Nuclear,7169
2000,Hydropower,7367
2000,Traditional bimass,12500
2000,Other renewables,517
2000,Biofuels,116
2000,Solar,3
2000,Coal,27417
2000,Gas,24000
2001,Wind,106
2001,Oil,43278
2001,Nuclear,7324
2001,Hydropower,7131
2001,Traditional bimass,12500
2001,Other renewables,530
2001,Biofuels,127
2001,Solar,4
2001,Coal,27853
2001,Gas,24331
2002,Wind,143
2002,Oil,43639
2002,Nuclear,7393
2002,Hydropower,7216
2002,Traditional bimass,12470
2002,Other renewables,566
2002,Biofuels,149
2002,Solar,5
2002,Coal,28945
2002,Gas,25053
2003,Wind,171
2003,Oil,44610
2003,Nuclear,7197
2003,Hydropower,7159
2003,Traditional bimass,12329
2003,Other renewables,594
2003,Biofuels,185
2003,Solar,6
2003,Coal,31497
2003,Gas,25753
2004,Wind,230
2004,Oil,46256
2004,Nuclear,7476
2004,Hydropower,7636
2004,Traditional bimass,12160
2004,Other renewables,637
2004,Biofuels,209
2004,Solar,8
2004,Coal,33664
2004,Gas,26736
2005,Wind,280
2005,Oil,46824
2005,Nuclear,7448
2005,Hydropower,7845
2005,Traditional bimass,12076
2005,Other renewables,685
2005,Biofuels,246
2005,Solar,11
2005,Coal,36171
2005,Gas,27464
2006,Wind,355
2006,Oil,47367
2006,Nuclear,7493
2006,Hydropower,8093
2006,Traditional bimass,11993
2006,Other renewables,726
2006,Biofuels,313
2006,Solar,15
2006,Coal,38071
2006,Gas,28175
2007,Wind,454
2007,Oil,47958
2007,Nuclear,7295
2007,Hydropower,8179
2007,Traditional bimass,11911
2007,Other renewables,783
2007,Biofuels,424
2007,Solar,21
